date,country_code,country_name,new_confirmed,new_deceased,population,new_persons_fully_vaccinated,new_persons_vaccinated,investment_in_vaccines,emergency_investment_in_healthcare
2020-05-23,BR,Brazil,54149,3307,212559409,0,0,0,0
2020-10-24,BR,Brazil,85209,1420,212559409,0,0,0,0
2020-04-25,BR,Brazil,19455,1206,212559409,0,0,0,0
2020-01-20,BR,Brazil,548,0,212559409,0,0,0,0
2021-05-19,BR,Brazil,249797,8548,212559409,431998,531907,0,0
2021-08-27,BR,Brazil,88742,2488,212559409,1841320,28644,0,0
2020-06-10,BR,Brazil,108021,4312,212559409,0,0,0,0
2021-06-04,BR,Brazil,118590,4538,212559409,147720,371462,0,0
2021-08-10,BR,Brazil,111139,3974,212559409,1607610,31510,0,0
2020-06-20,BR,Brazil,108664,3462,212559409,0,0,0,0
2020-07-10,BR,Brazil,144029,4023,212559409,0,0,0,30740000
2021-05-07,BR,Brazil,252551,6962,212559409,571740,218130,0,0
2021-03-06,BR,Brazil,219394,5015,212559409,142162,0,0,0
2021-08-20,BR,Brazil,108808,2817,212559409,1781076,14936,0,0
2021-08-15,BR,Brazil,44119,875,212559409,186264,13764,0,0
2020-12-30,BR,Brazil,177627,3839,212559409,0,0,0,0
2020-04-04,BR,Brazil,4376,255,212559409,0,0,0,0
2021-02-09,BR,Brazil,163072,4190,212559409,34078,206741,0,0
2021-07-04,BR,Brazil,87493,2617,212559409,82810,59394,0,0
2020-11-16,BR,Brazil,43701,673,212559409,0,0,0,0
2020-12-28,BR,Brazil,67064,1360,212559409,0,0,0,0
2021-09-08,BR,Brazil,50368,816,212559409,2217500,7462,0,0
2020-11-18,BR,Brazil,108237,2545,212559409,0,0,0,0
2020-02-01,BR,Brazil,766,0,212559409,0,0,0,0
2020-11-14,BR,Brazil,120788,3090,212559409,0,0,0,0
2020-07-07,BR,Brazil,146266,4231,212559409,0,0,0,0
2021-04-05,BR,Brazil,90799,4183,212559409,403802,656652,0,0
2021-09-05,BR,Brazil,41311,858,212559409,448782,2964,0,0
2021-07-22,CO,Colombia,36630,1131,50882884,332779,326591,0,0
2020-06-02,CO,Colombia,4068,186,50882884,0,0,0,0
2020-06-15,CO,Colombia,5205,321,50882884,0,0,0,0
2021-03-08,CO,Colombia,10152,405,50882884,0,0,0,0
2020-12-24,CO,Colombia,43125,903,50882884,0,0,0,0
2021-01-21,CO,Colombia,45675,1437,50882884,0,0,0,0
2021-04-19,CO,Colombia,56805,1581,50882884,32892,64685,0,0
2020-11-02,CO,Colombia,17841,657,50882884,0,0,0,0
2021-01-08,CO,Colombia,57933,1068,50882884,0,0,0,0
2020-11-11,CO,Colombia,25914,609,50882884,0,0,0,0
2021-06-22,CO,Colombia,94176,2004,50882884,211493,172012,0,0
2020-11-20,CO,Colombia,37074,639,50882884,0,0,0,0
2021-08-09,CO,Colombia,11754,597,50882884,92630,179093,0,0
2020-04-07,CO,Colombia,411,27,50882884,0,0,0,0
2021-07-08,CO,Colombia,66021,1773,50882884,0,0,0,0
2021-02-10,CO,Colombia,15846,741,50882884,0,0,0,0
2021-07-02,CO,Colombia,80607,1851,50882884,191385,115535,0,0
2021-03-05,CO,Colombia,11124,474,50882884,0,0,0,0
2020-06-24,CO,Colombia,8787,462,50882884,0,0,0,0
2020-10-26,CO,Colombia,28485,663,50882884,0,0,0,0
2020-10-21,CO,Colombia,31860,621,50882884,0,0,0,0
2021-04-12,CO,Colombia,55107,1251,50882884,105972,26262,0,0
2021-05-12,CO,Colombia,50532,1632,50882884,79201,98410,0,0
2020-06-18,CO,Colombia,9381,411,50882884,0,0,0,0
2020-11-03,CO,Colombia,27600,717,50882884,0,0,0,0
2020-06-07,CO,Colombia,3810,234,50882884,0,0,0,0
2020-05-06,CO,Colombia,1143,75,50882884,0,0,0,0
2020-12-28,CO,Colombia,48579,927,50882884,0,0,0,0
2021-05-06,CO,Colombia,52521,1623,50882884,0,0,0,0
2020-07-13,CO,Colombia,22071,804,50882884,0,0,0,0
2021-04-18,CO,Colombia,32931,1428,50882884,19749,42534,0,0
2020-10-23,CO,Colombia,29124,720,50882884,0,0,0,0
2020-07-06,CO,Colombia,11064,618,50882884,0,0,0,0
2021-03-01,IN,India,36611,248,1380004385,279441,741620,0,0
2021-01-05,IN,India,53409,692,1380004385,0,0,0,0
2021-02-23,IN,India,41229,309,1380004385,343144,488989,0,0
2021-02-03,IN,India,35295,293,1380004385,0,619385,0,0
2020-11-26,IN,India,117682,1316,1380004385,0,0,0,0
2021-08-27,IN,India,139475,1506,1380004385,5950551,15932903,0,0
2021-03-03,IN,India,48552,256,1380004385,324122,1577158,0,0
2021-07-29,IN,India,129772,1681,1380004385,3430044,7150955,0,0
2020-05-20,IN,India,16043,401,1380004385,0,0,0,0
2020-08-15,IN,India,179891,2794,1380004385,0,0,0,0
2021-03-09,IN,India,55441,350,1380004385,586804,2057198,0,0
2020-10-11,IN,India,182197,2255,1380004385,0,0,0,0
2021-03-10,IN,India,65693,328,1380004385,567625,2029614,0,0
2021-09-16,IN,India,105973,942,1380004385,6690729,9884586,0,0
2020-09-16,IN,India,278149,3344,1380004385,0,0,0,0
2021-04-28,IN,India,1098060,10267,1380004385,1785272,2495923,0,0
2021-07-01,IN,India,135295,2407,1380004385,2291094,7604136,0,0
2020-08-26,IN,India,220106,2997,1380004385,0,0,0,0
2020-08-09,IN,India,171472,2835,1380004385,0,0,0,0
2020-05-28,IN,India,20238,597,1380004385,0,0,0,0
2021-03-22,IN,India,124428,634,1380004385,683911,6078023,0,0
